event_id,event_date,latitude,longitude,country,state,landslide_size,landslide_trigger,fatality_count
2164,07/29/2010 11:00:00 PM,25.3098633,94.48214677,India,Manipur,medium,downpour,0
5122,07/17/2013 12:00:00 AM,25.7658,93.9413,India,Nagaland,medium,rain,0
5123,07/17/2013 12:00:00 AM,25.7131,94.0885,India,Nagaland,medium,rain,0
5084,07/12/2013 11:00:00 PM,25.616,94.1167,India,Nagaland,medium,downpour,0
2566,10/08/2010 12:00:00 AM,25.4769,94.1351,India,Nagaland,medium,downpour,0
1109,08/20/2009 12:00:00 AM,25.5215,93.1645,India,Assam,medium,downpour,0
1961,06/09/2010 02:15:00 PM,25.8833,91.2,India,Meghalaya,medium,downpour,0
2578,10/09/2010 12:00:00 AM,25.3179,94.0462,India,Nagaland,medium,downpour,0
322,10/21/2007 12:00:00 AM,24.75,93.4333,India,Assam,medium,rain,0
7370,08/01/2015 12:00:00 AM,24.1419,94.1078,India,Manipur,medium,continuous_rain,0
5552,09/24/2013 12:00:00 AM,25.0985,94.3619,India,Manipur,medium,unknown,0
7031,05/24/2015 12:00:00 AM,27.6163,88.6586,India,Sikkim,medium,unknown,0
2025,06/28/2010 12:00:00 AM,25.5728,91.885,India,Meghalaya,medium,downpour,1
9405,04/19/2016 12:00:00 AM,26.7223,95.0243,India,Nagaland,medium,continuous_rain,0
5343,08/17/2013 11:00:00 PM,24.7625,93.4341,India,Assam,medium,continuous_rain,0
6971,06/09/2015 12:00:00 AM,27.0987,93.816,India,Arunachal Pradesh,medium,continuous_rain,2
1611,04/01/2010 12:00:00 AM,25.1553,93.028,India,Assam,medium,downpour,3
4382,06/03/2012 12:00:00 AM,25.1175,92.8573,India,Assam,medium,downpour,0
1112,08/20/2009 12:00:00 AM,27.1761,88.5287,India,Sikkim,medium,downpour,0
2424,09/13/2010 12:00:00 AM,23.591,92.9296,India,Mizoram,medium,downpour,0
78,05/23/2007 12:00:00 AM,27.3383,88.6069,India,Sikkim,medium,rain,0
5431,09/01/2013 12:00:00 AM,24.9829,93.5063,India,Assam,medium,continuous_rain,0
3672,06/29/2011 12:00:00 AM,25.5125,93.3613,India,Assam,medium,downpour,0
2253,08/15/2010 11:00:00 PM,25.31006064,94.48265093,India,Manipur,medium,downpour,0
1108,08/20/2009 12:00:00 AM,24.9925,93.5,India,Assam,medium,downpour,0
6105,06/26/2014 11:00:00 PM,28.9205,95.3429,India,Arunachal Pradesh,medium,continuous_rain,0
9168,06/12/2016 11:00:00 PM,27.6438,93.871,India,Arunachal Pradesh,medium,downpour,0
3560,05/31/2011 02:30:00 PM,24.8286,93.5935,India,Manipur,medium,downpour,2
587,06/15/2008 12:00:00 AM,27.2298,94.0989,India,Assam,medium,downpour,17
8012,09/06/2015 03:00:00 PM,25.9703,91.8584,India,Meghalaya,medium,unknown,0
7335,08/18/2015 09:00:00 AM,25.5145,90.2023,India,Meghalaya,medium,continuous_rain,0
141,07/26/2007 12:00:00 AM,25.38,91.88,India,Meghalaya,medium,rain,0
3983,09/23/2011 12:00:00 AM,26.1548,91.7351,India,Assam,large,downpour,4
148,07/30/2007 12:00:00 AM,22.479,92.967,India,Mizoram,medium,downpour,0
1775,04/21/2010 12:00:00 AM,27.8965,96.1779,India,Arunachal Pradesh,medium,downpour,12
3663,06/28/2011 12:00:00 AM,25.6682,94.1099,India,Nagaland,medium,downpour,0
7385,08/01/2015 12:00:00 AM,24.004,93.9815,India,Manipur,medium,continuous_rain,0
2575,10/09/2010 12:00:00 AM,25.5242,92.9914,India,Assam,medium,downpour,0
3840,07/25/2011 12:00:00 AM,24.6869,93.9157,India,Manipur,medium,downpour,0
6015,05/08/2014 12:00:00 AM,27.9032,96.174,India,Arunachal Pradesh,medium,rain,0
3741,07/07/2011 12:00:00 AM,25.4191,94.1079,India,Nagaland,medium,rain,0
2106,07/20/2010 12:00:00 AM,26.8716,94.9921,India,Nagaland,medium,downpour,0
9051,07/19/2016 09:00:00 AM,26.09748244,91.8744337,India,Meghalaya,medium,unknown,0
870,10/29/2008 12:00:00 AM,27.4,92.35,India,Arunachal Pradesh,medium,downpour,12
2392,09/04/2010 12:00:00 AM,27.3702,88.7334,India,Sikkim,medium,downpour,0
3830,07/22/2011 12:00:00 AM,24.3527,94.3429,India,Manipur,small,downpour,0
4906,06/07/2013 12:00:00 AM,26.0977,94.7499,India,Nagaland,medium,unknown,0
3269,03/22/2011 12:00:00 AM,28.0791,96.5242,India,Arunachal Pradesh,medium,downpour,0
1755,04/17/2010 03:00:00 PM,27.3341,88.6083,India,Sikkim,small,downpour,0
6990,06/24/2015 12:00:00 AM,26.0319,94.5466,India,Nagaland,medium,continuous_rain,0
6222,10/01/2014 11:00:00 AM,27.1249,93.7706,India,Arunachal Pradesh,small,unknown,5
9169,06/12/2016 12:00:00 AM,26.1677,94.2442,India,Nagaland,unknown,continuous_rain,0
4435,06/25/2012 12:00:00 AM,27.174,95.8011,India,Arunachal Pradesh,large,downpour,0
4313,04/08/2012 12:00:00 AM,28.4659,95.86,India,Arunachal Pradesh,medium,downpour,0
2344,08/27/2010 04:30:00 PM,24.7505,93.4221,India,Assam,medium,downpour,0
7263,07/22/2015 12:00:00 AM,25.4477,94.0489,India,Manipur,medium,continuous_rain,0
5271,08/04/2013 12:00:00 AM,26.284,94.5808,India,Nagaland,medium,continuous_rain,0
3525,05/22/2011 12:00:00 AM,25.0672,93.4093,India,Assam,medium,downpour,0
7369,08/01/2015 12:00:00 AM,24.1988,94.1016,India,Manipur,medium,continuous_rain,0
4424,06/20/2012 12:00:00 AM,26.149,91.7351,India,Assam,medium,downpour,0
4892,06/01/2013 12:00:00 AM,27.8776,94.25,India,Arunachal Pradesh,large,downpour,0
4377,06/02/2012 12:00:00 AM,26.1475,91.7356,India,Assam,large,downpour,0
5430,09/01/2013 12:00:00 AM,24.9037,93.487,India,Manipur,medium,continuous_rain,0
7264,07/22/2015 12:00:00 AM,25.4538,93.9827,India,Manipur,medium,continuous_rain,0
5006,07/01/2013 12:00:00 AM,26.1147,94.3864,India,Nagaland,medium,downpour,0
256,09/10/2007 12:00:00 AM,27.3425,88.6236,India,Sikkim,medium,rain,0
9335,05/18/2016 08:00:00 AM,24.5202,92.7239,India,Assam,unknown,continuous_rain,2
7279,07/24/2015 12:00:00 AM,24.9818,93.5142,India,Manipur,medium,monsoon,0
6288,09/22/2014 12:00:00 AM,26.1985,91.7998,India,Assam,small,rain,0
